image_index,alpha_deg,channel,wavelength_nm,period_um,natural_blur_deg,macro_pixel_row,macro_pixel_col,macro_pixel_pitch_um,elementary_grating_size_um,pixel_intensity_norm,duty_cycle
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,18,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,19,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,20,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,21,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,22,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,23,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,24,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,25,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,26,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,27,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,28,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,29,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,30,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,31,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,32,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,33,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,34,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,1,35,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,0,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,1,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,2,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,3,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,4,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,5,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,6,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,7,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,8,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,9,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,10,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,11,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,12,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,13,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,14,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,15,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,16,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,17,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,18,60.0,5.0,0.0,0.0
1,-10.0,R,620.0,1.1622270142601614,14.209353319244416,2,19,60.0,5.0,0.0,0.0
